pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,english-seekho,565574549966663,English Seekho App,2026-05-25,289,289,95,0.329
facebook,english-seekho,565574549966663,English Seekho App,2026-06-01,212,74,81,0.382
facebook,english-seekho,565574549966663,English Seekho App,2026-06-08,278,175,56,0.201
