pipeline,competitor,device_format,ads,winners,win_ratio
facebook,speakeasy,split-screen,226,35,0.155
facebook,speakeasy,skit-narrative,118,17,0.144
facebook,speakeasy,talking-head,56,9,0.161
facebook,speakeasy,text-on-screen-only,7,1,0.143
facebook,speakeasy,other,1,1,1.0
