pipeline,competitor,page_id,page_name,ad_id,media_type,language,presenter_type,device_format,production_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,boldvoice,108128217985547,BoldVoice,2145349949589258,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,22,22,22,22,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1667192404409422,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,23,38,30,38,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1916500979739529,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,23,35,29,23,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1203989948390549,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,24,27,26,27,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1690195018790972,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,24,24,24,24,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2019169519026716,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,25,42,34,42,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1467456411266929,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,25,25,25,25,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1490181179245814,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,26,43,34,43,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,976040688249738,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,27,44,36,44,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,27415139248077650,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,28,46,37,46,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1706235563838537,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,28,28,28,28,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2044024766536516,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,29,47,38,47,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1582351407065145,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,29,125,77,29,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1275902161190658,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-15,20,False,30,36,33,36,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,953096330875251,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,31,53,42,53,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,967159326158821,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,31,53,42,31,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,977066851493447,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,32,56,44,56,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1673342077242962,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,32,32,32,32,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1328575745839398,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,33,41,37,41,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,986956634132095,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,33,33,33,33,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,883477948127247,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,34,73,54,34,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1112943635238053,Video,,,,,2026-06-04,2026-06-04,1,1,,0,True,35,35,35,35,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1694234528440296,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,36,55,46,55,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,999521015870651,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,37,59,48,59,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,756405930831075,Image,,,,,2026-06-04,2026-06-04,1,1,,0,True,37,37,37,37,True,False,167,1.0,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,1316439500694336,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,38,57,48,57,True,False,167,0.5,False,True,False,new,high
facebook,boldvoice,108128217985547,BoldVoice,2210913562995478,Video,,,,,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,39,49,44,49,True,False,167,0.5,False,True,False,new,high
