pipeline,competitor,bucket,ads,winners,win_ratio
facebook,mysivi,ai_plus_human,1460,523,0.358
facebook,mysivi,human_only,548,146,0.266
facebook,mysivi,other,292,110,0.377
facebook,mysivi,ai_plus_ai,146,69,0.473
facebook,mysivi,paper_translation,61,25,0.41
facebook,mysivi,split_screen,1354,488,0.36
facebook,mysivi,TOTAL,2507,873,0.348
