pipeline,competitor,format_axis,ads,winners,win_ratio
facebook,pw-talk,skit-narrative,62,37,0.597
facebook,pw-talk,split-screen,34,30,0.882
facebook,pw-talk,app-demo,24,19,0.792
facebook,pw-talk,text-on-screen-only,12,9,0.75
facebook,pw-talk,other,4,2,0.5
facebook,pw-talk,listicle-montage,3,2,0.667
