pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,lingo-ai,unique,141,19,0.135
facebook,lingo-ai,exact_replica,64,15,0.234
facebook,lingo-ai,original,46,13,0.283
facebook,lingo-ai,reworded_replica,6,1,0.167
facebook,lingo-ai,visual_variant,5,3,0.6
facebook,lingo-ai,translation_replica,2,0,0.0
