pipeline,competitor,language,ads,winners,win_ratio
facebook,lingo-ai,English,234,21,0.09
facebook,lingo-ai,French,13,0,0.0
facebook,lingo-ai,Arabic,6,0,0.0
facebook,lingo-ai,Turkish,5,0,0.0
facebook,lingo-ai,Portuguese,2,0,0.0
facebook,lingo-ai,Vietnamese,2,0,0.0
facebook,lingo-ai,Hindi,2,0,0.0
facebook,lingo-ai,German,1,0,0.0
