pipeline,competitor,bucket_type,bucket,ads,winners,win_ratio
facebook,wispr-flow,weekday,Mon,25,0,0.0
facebook,wispr-flow,weekday,Tue,6,4,0.667
facebook,wispr-flow,weekday,Wed,22,7,0.318
facebook,wispr-flow,weekday,Thu,227,2,0.009
facebook,wispr-flow,weekday,Fri,135,6,0.044
facebook,wispr-flow,weekday,Sat,48,1,0.021
facebook,wispr-flow,weekday,Sun,20,4,0.2
facebook,wispr-flow,day_of_month,3,3,2,0.667
facebook,wispr-flow,day_of_month,5,5,4,0.8
facebook,wispr-flow,day_of_month,6,1,0,0.0
facebook,wispr-flow,day_of_month,7,1,1,1.0
facebook,wispr-flow,day_of_month,10,1,1,1.0
facebook,wispr-flow,day_of_month,11,7,0,0.0
facebook,wispr-flow,day_of_month,12,2,1,0.5
facebook,wispr-flow,day_of_month,14,1,0,0.0
facebook,wispr-flow,day_of_month,15,33,0,0.0
facebook,wispr-flow,day_of_month,16,4,0,0.0
facebook,wispr-flow,day_of_month,17,10,5,0.5
facebook,wispr-flow,day_of_month,18,24,0,0.0
facebook,wispr-flow,day_of_month,20,3,0,0.0
facebook,wispr-flow,day_of_month,21,214,0,0.0
facebook,wispr-flow,day_of_month,22,91,0,0.0
facebook,wispr-flow,day_of_month,23,41,0,0.0
facebook,wispr-flow,day_of_month,24,15,0,0.0
facebook,wispr-flow,day_of_month,25,3,1,0.333
facebook,wispr-flow,day_of_month,27,9,0,0.0
facebook,wispr-flow,day_of_month,29,10,7,0.7
facebook,wispr-flow,day_of_month,30,5,2,0.4
