pipeline,competitor,kind,key,ads
facebook,speakx,status,agree,407
facebook,speakx,status,disagree,172
facebook,speakx,status,audio_only,40
facebook,speakx,status,copy_only,12
facebook,speakx,mismatch,audio=Telugu | copy=English,151
facebook,speakx,mismatch,audio=Hindi | copy=English,19
facebook,speakx,mismatch,audio=English | copy=Hindi,2
