pipeline,competitor,device_format,ads,winners,win_ratio
facebook,zinglish,app-screencast,28,25,0.893
facebook,zinglish,pen-and-paper,6,6,1.0
facebook,zinglish,talking-head,4,3,0.75
facebook,zinglish,other,1,1,1.0
facebook,zinglish,listicle-montage,1,1,1.0
facebook,zinglish,skit-narrative,1,0,0.0
