metric,value
kind:relaunch,0
kind:placement_format_change,0
kind:simultaneous_duplicate,140
changed:platforms,0
changed:aspect,0
changed:destination,0
changed:cta,0
ads_with_2_versions,125
ads_with_3_versions,13
ads_with_4_versions,2
