pipeline,competitor,device_format,ads,winners,win_ratio
facebook,lingo-ai,skit-narrative,86,5,0.058
facebook,lingo-ai,talking-head,86,6,0.07
facebook,lingo-ai,listicle-montage,43,3,0.07
facebook,lingo-ai,split-screen,21,10,0.476
facebook,lingo-ai,other,17,5,0.294
facebook,lingo-ai,text-on-screen-only,8,2,0.25
facebook,lingo-ai,pen-and-paper,4,3,0.75
