pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,lingo-ai,2026-06-15,83,7,104,104,0,21,0.202
facebook,lingo-ai,2026-06-22,104,0,167,121,39,35,0.21
facebook,lingo-ai,2026-06-29,0,0,204,0,0,18,0.088
facebook,lingo-ai,2026-07-06,0,0,389,0,0,2,0.005
facebook,lingo-ai,2026-07-13,0,0,327,0,0,0,0.0
