pipeline,competitor,presenter_type,ads,winners,win_ratio
facebook,english-seekho,human-only,876,67,0.076
facebook,english-seekho,voiceover-only,250,14,0.056
facebook,english-seekho,ai+human,218,20,0.092
facebook,english-seekho,ai-avatar-only,196,13,0.066
facebook,english-seekho,none,6,0,0.0
facebook,english-seekho,mixed,2,1,0.5
facebook,english-seekho,ai-generated,2,0,0.0
