pipeline,competitor,device_format,ads,winners,win_ratio
facebook,pw-talk,split-screen,17,14,0.824
facebook,pw-talk,skit-narrative,16,16,1.0
facebook,pw-talk,text-on-screen-only,11,5,0.455
facebook,pw-talk,talking-head,9,6,0.667
facebook,pw-talk,app-screencast,2,2,1.0
facebook,pw-talk,other,1,1,1.0
facebook,pw-talk,listicle-montage,1,0,0.0
