ad_id,page_name,version_count,distinct_start_dates,first_start,last_start,relaunch_span_days,kind,platforms_changed,aspect_changed,destination_changed,cta_changed
1005290858755106,English Learning App,2,1,2026-06-22,2026-06-22,,simultaneous_duplicate,false,false,false,false
972795661907348,English Learning App,2,1,2026-04-28,2026-04-28,,simultaneous_duplicate,false,false,false,false
