pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,pw-talk,speak-correctly,36,28,0.778
facebook,pw-talk,understand-cant-speak,22,8,0.364
facebook,pw-talk,habit-aspiration,22,14,0.636
facebook,pw-talk,fear-shame,20,9,0.45
facebook,pw-talk,feature-demo,15,8,0.533
facebook,pw-talk,other,13,8,0.615
facebook,pw-talk,social-proof,5,3,0.6
facebook,pw-talk,translation-practice,1,1,1.0
