pipeline,competitor,page_id,page_name,ad_id,media_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,speak,743138162511061,Speak,25882090461493760,Video,2026-05-28,2026-06-04,2,2,2026-03-08,88,False,1,1,1,1,True,False,668,1.0,True,True,False,strong_winner,high
facebook,speak,743138162511061,Speak,1238368295046433,Video,2026-05-28,2026-05-28,1,1,2026-03-24,65,False,2,2,2,2,False,True,668,1.0,True,True,False,strong_winner,high
facebook,speak,743138162511061,Speak,2170052253789462,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,2,3,2,2,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,1737116637460752,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,3,4,4,3,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,971110522363631,Video,2026-06-04,2026-06-04,1,1,,0,True,4,4,4,4,True,False,617,1.0,True,True,False,new,high
facebook,speak,743138162511061,Speak,27198260846527222,Image,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,5,5,5,5,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,731083580063013,Image,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,6,7,6,7,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,1459044325509397,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,6,15,10,6,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,1014965510961636,Image,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,7,9,8,9,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,2473979766370375,Image,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,8,10,9,10,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,1353108060017678,Video,2026-05-28,2026-06-04,2,2,2026-05-19,16,False,8,13,10,8,True,False,668,1.0,True,True,False,winner,high
facebook,speak,743138162511061,Speak,1701531751026756,Image,2026-05-28,2026-06-04,2,2,2026-05-14,21,False,9,11,10,11,True,False,668,1.0,True,True,False,winner,high
