metric,value
kind:relaunch,0
kind:placement_format_change,0
kind:simultaneous_duplicate,60
changed:platforms,0
changed:aspect,0
changed:destination,0
changed:cta,0
ads_with_2_versions,37
ads_with_3_versions,19
ads_with_4_versions,1
ads_with_6_versions,2
ads_with_7_versions,1
