pipeline,competitor,bucket,ads,winners,win_ratio
facebook,speakeasy,ai_plus_human,221,45,0.204
facebook,speakeasy,ai_plus_ai,40,4,0.1
facebook,speakeasy,human_only,5,1,0.2
facebook,speakeasy,other,5,2,0.4
facebook,speakeasy,split_screen,148,31,0.209
facebook,speakeasy,TOTAL,271,52,0.192
