pipeline,competitor,device_format,ads,winners,win_ratio
facebook,mysivi,split-screen,51,48,0.941
facebook,mysivi,skit-narrative,26,26,1.0
facebook,mysivi,pen-and-paper,9,9,1.0
facebook,mysivi,app-screencast,4,4,1.0
facebook,mysivi,talking-head,3,3,1.0
facebook,mysivi,text-on-screen-only,2,2,1.0
facebook,mysivi,other,2,2,1.0
