pipeline,competitor,kind,key,ads
facebook,lingo-ai,status,agree,231
facebook,lingo-ai,status,disagree,34
facebook,lingo-ai,status,copy_only,2
facebook,lingo-ai,mismatch,audio=English | copy=Arabic,20
facebook,lingo-ai,mismatch,audio=French | copy=English,13
facebook,lingo-ai,mismatch,audio=German | copy=Turkish,1
