pipeline,competitor,presenter_type,ads,winners,win_ratio
facebook,speakeasy,ai+human,221,45,0.204
facebook,speakeasy,ai-avatar-only,42,4,0.095
facebook,speakeasy,human-only,5,1,0.2
facebook,speakeasy,voiceover-only,1,1,1.0
facebook,speakeasy,none,1,1,1.0
