pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,ewa,165004157332215,EWA: Learn Languages,2026-06-01,1218,684,247,0.203
facebook,ewa,165004157332215,EWA: Learn Languages,2026-06-08,1025,727,167,0.163
facebook,ewa,165004157332215,EWA: Learn Languages,2026-06-15,1308,628,187,0.143
facebook,ewa,165004157332215,EWA: Learn Languages,2026-06-22,2061,1697,272,0.132
facebook,ewa,165004157332215,EWA: Learn Languages,2026-06-29,1548,628,234,0.151
facebook,ewa,165004157332215,EWA: Learn Languages,2026-07-06,1704,807,245,0.144
facebook,ewa,165004157332215,EWA: Learn Languages,2026-07-13,1883,912,209,0.111
facebook,ewa,165004157332215,EWA: Learn Languages,2026-07-20,936,468,70,0.075
facebook,ewa,61572590343208,EWA: Learn Languages,2026-05-25,1963,1963,235,0.12
