pipeline,competitor,replication_type,n_replicas,median_days_to_replica,mean_days_to_replica,min_days_to_replica,max_days_to_replica
facebook,english-seekho,character_variant,130,19.0,17.0,0,31
facebook,english-seekho,exact_replica,161,10,11.6,0,31
facebook,english-seekho,reworded_replica,402,6.0,10.4,0,31
facebook,english-seekho,translation_replica,108,27.0,20.9,0,31
facebook,english-seekho,visual_variant,182,19.0,16.9,0,31
facebook,english-seekho,ALL,983,14,13.8,0,31
