pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,loora,speak-correctly,100,46,0.46
facebook,loora,understand-cant-speak,27,8,0.296
facebook,loora,habit-aspiration,7,4,0.571
facebook,loora,fear-shame,1,1,1.0
