pipeline,competitor,kind,key,ads
facebook,pw-talk,status,agree,97
facebook,pw-talk,status,disagree,39
facebook,pw-talk,status,copy_only,25
facebook,pw-talk,mismatch,audio=Hindi | copy=English,38
facebook,pw-talk,mismatch,audio=English | copy=Hindi,1
