pipeline,competitor,replication_type,n_replicas,median_days_to_replica,mean_days_to_replica,min_days_to_replica,max_days_to_replica
facebook,pw-talk,character_variant,2,0.0,0,0,0
facebook,pw-talk,exact_replica,20,1.0,0.8,0,2
facebook,pw-talk,reworded_replica,23,0,0.5,0,2
facebook,pw-talk,visual_variant,13,0,0.5,0,1
facebook,pw-talk,ALL,58,0.5,0.6,0,2
