pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,speakeasy,2026-06-22,111,111,111,0,0,52,0.468
facebook,speakeasy,2026-06-23,30,0,0,0,81,28,0.933
facebook,speakeasy,2026-06-24,112,43,35,8,6,46,0.411
facebook,speakeasy,2026-06-25,136,50,40,10,26,43,0.316
facebook,speakeasy,2026-06-26,172,67,38,28,32,41,0.238
facebook,speakeasy,2026-06-27,210,62,41,21,24,41,0.195
facebook,speakeasy,2026-06-29,150,17,1,16,77,39,0.26
facebook,speakeasy,2026-06-30,194,59,39,20,26,33,0.17
