pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,pw-talk,631251720065425,PW Talk,2026-06-15,141,141,97,0.688
facebook,pw-talk,631251720065425,PW Talk,2026-06-22,120,20,79,0.658
