pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,mysivi,2026-05-25,355,8,1596,1532,0,714,0.447
facebook,mysivi,2026-06-01,23,0,242,75,164,53,0.219
facebook,mysivi,2026-06-08,94,0,320,150,170,87,0.272
facebook,mysivi,2026-06-15,56,0,165,92,73,0,0.0
facebook,mysivi,2026-06-22,23,0,135,63,72,4,0.03
