pipeline,competitor,replication_type,n_replicas,median_days_to_replica,mean_days_to_replica,min_days_to_replica,max_days_to_replica
facebook,speakeasy,character_variant,1,0,0,0,0
facebook,speakeasy,exact_replica,2,0.0,0,0,0
facebook,speakeasy,reworded_replica,22,0.0,0,0,0
facebook,speakeasy,visual_variant,1,0,0,0,0
facebook,speakeasy,ALL,26,0.0,0,0,0
