pipeline,competitor,split_screen_role,ads,winners,win_ratio
facebook,mysivi,none,1319,451,0.342
facebook,mysivi,ai-corrects-human,1042,368,0.353
facebook,mysivi,human-corrects-ai,29,21,0.724
facebook,mysivi,ai-corrects-ai,1,1,1.0
