pipeline,competitor,bucket,ads,winners,win_ratio
facebook,zinglish,other,15,15,1.0
facebook,zinglish,human_only,10,10,1.0
facebook,zinglish,paper_translation,6,6,1.0
facebook,zinglish,split_screen,0,0,0.0
facebook,zinglish,TOTAL,31,31,1.0
