pipeline,competitor,scrape_date,ads_live,new_ads,new_script_ads,reused_script_ads,stopped_ads,winners_live,win_ratio
facebook,lingo-ai,2026-06-15,29,29,29,0,0,9,0.31
facebook,lingo-ai,2026-06-16,42,25,18,7,12,12,0.286
facebook,lingo-ai,2026-06-17,93,50,43,7,6,19,0.204
facebook,lingo-ai,2026-06-22,53,35,33,2,75,27,0.509
facebook,lingo-ai,2026-06-23,30,10,7,3,47,13,0.433
facebook,lingo-ai,2026-06-24,105,46,15,25,11,45,0.429
facebook,lingo-ai,2026-06-25,117,35,26,9,23,37,0.316
facebook,lingo-ai,2026-06-26,147,41,34,6,20,49,0.333
facebook,lingo-ai,2026-06-29,109,1,0,0,39,36,0.33
facebook,lingo-ai,2026-06-30,116,22,0,0,25,46,0.397
facebook,lingo-ai,2026-07-01,113,22,0,0,35,36,0.319
facebook,lingo-ai,2026-07-02,159,42,0,0,14,47,0.296
facebook,lingo-ai,2026-07-03,161,64,0,0,62,56,0.348
facebook,lingo-ai,2026-07-04,180,53,0,0,34,52,0.289
facebook,lingo-ai,2026-07-06,162,67,0,0,93,59,0.364
facebook,lingo-ai,2026-07-07,154,55,0,0,63,39,0.253
facebook,lingo-ai,2026-07-08,186,37,0,0,32,58,0.312
facebook,lingo-ai,2026-07-09,233,84,0,0,46,57,0.245
facebook,lingo-ai,2026-07-10,232,90,0,0,104,55,0.237
facebook,lingo-ai,2026-07-11,171,23,0,0,107,56,0.327
facebook,lingo-ai,2026-07-12,176,33,0,0,62,45,0.256
facebook,lingo-ai,2026-07-13,224,85,0,0,47,45,0.201
facebook,lingo-ai,2026-07-14,290,100,0,0,79,30,0.103
facebook,lingo-ai,2026-07-15,179,43,0,0,182,23,0.128
facebook,lingo-ai,2026-07-16,183,58,0,0,90,16,0.087
facebook,lingo-ai,2026-07-17,185,41,0,0,91,29,0.157
