pipeline,competitor,device_format,ads,winners,win_ratio
facebook,speakx,skit-narrative,313,118,0.377
facebook,speakx,split-screen,197,114,0.579
facebook,speakx,talking-head,95,53,0.558
facebook,speakx,pen-and-paper,6,4,0.667
facebook,speakx,other,5,1,0.2
facebook,speakx,listicle-montage,2,0,0.0
facebook,speakx,app-screencast,1,1,1.0
