pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,speakeasy,2026-06-22,228,5,333,332,0,52,0.156
facebook,speakeasy,2026-06-29,40,0,76,40,36,0,0.0
