pipeline,competitor,device_format,ads,winners,win_ratio
facebook,zinglish,app-screencast,22,22,1.0
facebook,zinglish,pen-and-paper,6,6,1.0
facebook,zinglish,other,1,1,1.0
facebook,zinglish,listicle-montage,1,1,1.0
facebook,zinglish,talking-head,1,1,1.0
