pipeline,competitor,kind,key,ads
facebook,wispr-flow,status,agree,368
facebook,wispr-flow,status,copy_only,136
facebook,wispr-flow,status,audio_only,12
facebook,wispr-flow,status,disagree,7
facebook,wispr-flow,mismatch,audio=Hindi | copy=English,5
facebook,wispr-flow,mismatch,audio=Hinglish | copy=English,2
