metric,value
kind:relaunch,267
kind:placement_format_change,36
kind:simultaneous_duplicate,360
changed:platforms,21
changed:aspect,4
changed:destination,197
changed:cta,177
ads_with_2_versions,374
ads_with_3_versions,108
ads_with_4_versions,38
ads_with_5_versions,66
ads_with_6_versions,68
ads_with_7_versions,9
relaunch_span_days_median,22
relaunch_gap_days_median,12
