pipeline,competitor,presenter_type,ads,winners,win_ratio
facebook,pw-talk,human-only,99,74,0.747
facebook,pw-talk,ai+human,20,15,0.75
facebook,pw-talk,voiceover-only,13,7,0.538
facebook,pw-talk,ai-avatar-only,4,0,0.0
facebook,pw-talk,none,3,3,1.0
