pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,lingo-ai,speak-correctly,76,9,0.118
facebook,lingo-ai,habit-aspiration,70,15,0.214
facebook,lingo-ai,other,56,14,0.25
facebook,lingo-ai,feature-demo,40,17,0.425
facebook,lingo-ai,translation-practice,23,1,0.043
