pipeline,competitor,language,ads,winners,win_ratio
facebook,mysivi,Hindi,420,160,0.381
facebook,mysivi,Telugu,388,118,0.304
facebook,mysivi,Tamil,387,127,0.328
facebook,mysivi,Marathi,369,197,0.534
facebook,mysivi,Malayalam,225,84,0.373
facebook,mysivi,Kannada,208,79,0.38
facebook,mysivi,Gujarati,182,55,0.302
facebook,mysivi,Bengali,134,29,0.216
facebook,mysivi,Punjabi,82,0,0.0
facebook,mysivi,English,45,23,0.511
