pipeline,competitor,device_format,ads,winners,win_ratio
facebook,pw-talk,skit-narrative,60,33,0.55
facebook,pw-talk,split-screen,33,23,0.697
facebook,pw-talk,talking-head,19,11,0.579
facebook,pw-talk,text-on-screen-only,12,6,0.5
facebook,pw-talk,other,4,2,0.5
facebook,pw-talk,app-screencast,4,4,1.0
facebook,pw-talk,listicle-montage,2,0,0.0
