pipeline,competitor,bucket,ads,winners,win_ratio
facebook,loora,ai_plus_human,67,30,0.448
facebook,loora,ai_plus_ai,51,23,0.451
facebook,loora,other,6,0,0.0
facebook,loora,split_screen,67,30,0.448
facebook,loora,TOTAL,124,53,0.427
