pipeline,competitor,bucket,ads,winners,win_ratio
facebook,wispr-flow,human_only,363,4,0.011
facebook,wispr-flow,other,120,20,0.167
facebook,wispr-flow,split_screen,59,1,0.017
facebook,wispr-flow,TOTAL,483,24,0.05
