ad_id,language_copy,language_audio,agreement_status,is_codeswitch
1763852395061401,Telugu,Telugu,agree,false
1763873145025652,Hindi,Hindi,agree,false
1767667434400291,Hindi,Hindi,agree,false
1769282797582626,Hindi,Hindi,agree,false
1772558894189872,Hindi,Hindi,agree,false
1774438100400862,Hindi,Hindi,agree,false
1782202363157939,Hindi,Hindi,agree,false
1782510706247992,Hindi,Hindi,agree,false
1785260805793877,Hindi,Hindi,agree,false
1802246977424820,Hindi,Hindi,agree,false
1806682616978957,Hindi,Punjabi,disagree,true
1808709853836813,Hindi,Hindi,agree,false
1818346986204122,Hindi,Hindi,agree,false
1823569825748369,Hindi,Hindi,agree,false
1836498971087758,Hindi,Hindi,agree,false
1846633682964760,Hindi,Hindi,agree,false
1888042088820222,Hindi,Hindi,agree,false
1890078848354220,Hindi,Hindi,agree,false
1893779937968049,Hindi,Hindi,agree,false
1894069581283466,Hindi,Hindi,agree,false
1895618541128580,Hindi,Hindi,agree,false
1903962816956522,Hindi,Hindi,agree,false
1909547616385885,Kannada,Kannada,agree,false
1913906955961670,Hindi,Hindi,agree,false
1921299865193505,Hindi,Hindi,agree,false
1945519429485659,Hindi,Hindi,agree,false
1960351544672313,Hindi,Hindi,agree,false
1962460318026236,Hindi,Hindi,agree,false
1967672820594747,Hindi,Hindi,agree,false
1968303247153256,Hindi,Hindi,agree,false
1973724823280908,Hindi,Hindi,agree,false
1985380975672231,Kannada,Kannada,agree,false
1988343188553429,Hindi,Hindi,agree,false
1990549078495400,Hindi,Hindi,agree,false
1999028157410744,Hindi,Hindi,agree,false
2000874894121296,Hindi,Hindi,agree,false
2004881760391786,Hindi,Hindi,agree,false
2007576680124404,Hindi,Hindi,agree,false
2015338379345824,Hindi,Hindi,agree,false
2016516622275043,Hindi,Hindi,agree,false
2023645954940017,Hindi,Hindi,agree,false
2033832710566826,Hindi,Hindi,agree,false
2037544283534590,Hindi,Hindi,agree,false
2038343334227407,Hindi,Hindi,agree,false
2046215799301881,Hindi,Hindi,agree,false
2065913707471647,Hindi,Hindi,agree,false
2069634304433222,Hindi,Hindi,agree,false
2071647760437589,Hindi,Hindi,agree,false
2072306373662352,Hindi,Hindi,agree,false
2077261656249916,Hindi,Hindi,agree,false
2089865811886437,Hindi,Hindi,agree,false
2096925954204563,Hindi,Hindi,agree,false
2097717927812890,Hindi,Punjabi,disagree,true
2099062654319532,Hindi,Hindi,agree,false
2099249430662365,Hindi,Hindi,agree,false
2105015630361267,Hindi,Hindi,agree,false
2108488899728525,Hindi,Hindi,agree,false
2123062678552643,Hindi,Hindi,agree,false
2123546228376837,Kannada,Telugu,disagree,true
2144309496142735,Hindi,Hindi,agree,false
2150914032432455,Hindi,Hindi,agree,false
2177477169702299,Hindi,Hindi,agree,false
2190623858400536,Hindi,Hindi,agree,false
2195335067868783,Hindi,Hindi,agree,false
2202456460521928,Hindi,Hindi,agree,false
2204189113689993,Hindi,Hindi,agree,false
2213197359533935,Hindi,Hindi,agree,false
2213246832761664,Hindi,Hindi,agree,false
2218310135679156,Hindi,Hindi,agree,false
2230483907768260,Hindi,Hindi,agree,false
2239986650081716,Hindi,Hindi,agree,false
2243317326482552,Hindi,Hindi,agree,false
2245734962626860,Hindi,Hindi,agree,false
2255359371932744,Hindi,Hindi,agree,false
2260533191150973,Hindi,Hindi,agree,false
2261220358027835,Hindi,Hindi,agree,false
2267755517345993,Hindi,Hindi,agree,false
2331349347274327,Hindi,Hindi,agree,false
