pipeline,competitor,language,ads,winners,win_ratio
facebook,speakx,Hindi,210,95,0.452
facebook,speakx,Telugu,171,102,0.596
facebook,speakx,Tamil,79,42,0.532
facebook,speakx,Kannada,66,28,0.424
facebook,speakx,Malayalam,62,42,0.677
facebook,speakx,Marathi,26,5,0.192
facebook,speakx,English,5,4,0.8
