pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,wispr-flow,feature-demo,344,5,0.015
facebook,wispr-flow,other,21,1,0.048
facebook,wispr-flow,habit-aspiration,7,0,0.0
facebook,wispr-flow,social-proof,2,0,0.0
