pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,pw-talk,2026-06-15,68,7,141,119,0,97,0.688
facebook,pw-talk,2026-06-22,13,0,20,20,0,0,0.0
