pipeline,competitor,bucket,ads,winners,win_ratio
facebook,duolingo,other,61,26,0.426
facebook,duolingo,human_only,4,4,1.0
facebook,duolingo,split_screen,1,1,1.0
facebook,duolingo,TOTAL,65,30,0.462
