pipeline,competitor,format_axis,ads,winners,win_ratio
facebook,zinglish,app-demo,32,23,0.719
facebook,zinglish,pen-and-paper,6,6,1.0
facebook,zinglish,other,1,1,1.0
facebook,zinglish,listicle-montage,1,1,1.0
facebook,zinglish,skit-narrative,1,0,0.0
