pipeline,competitor,device_format,ads,winners,win_ratio
facebook,mysivi,split-screen,1310,479,0.366
facebook,mysivi,skit-narrative,682,231,0.339
facebook,mysivi,app-screencast,150,49,0.327
facebook,mysivi,talking-head,134,44,0.328
facebook,mysivi,pen-and-paper,61,25,0.41
facebook,mysivi,other,13,6,0.462
facebook,mysivi,text-on-screen-only,10,4,0.4
facebook,mysivi,listicle-montage,4,1,0.25
