pipeline,competitor,message_angle,ads,winners,win_ratio
facebook,speakx,fear-shame,229,98,0.428
facebook,speakx,speak-correctly,115,57,0.496
facebook,speakx,understand-cant-speak,101,52,0.515
facebook,speakx,habit-aspiration,72,35,0.486
facebook,speakx,translation-practice,36,22,0.611
facebook,speakx,social-proof,32,16,0.5
facebook,speakx,other,21,12,0.571
facebook,speakx,feature-demo,13,9,0.692
