pipeline,competitor,replication_type,n_replicas,median_days_to_replica,mean_days_to_replica,min_days_to_replica,max_days_to_replica
facebook,mysivi,character_variant,26,0.0,2.9,0,27
facebook,mysivi,exact_replica,687,0,1.5,0,17
facebook,mysivi,reworded_replica,106,0.0,6.9,0,28
facebook,mysivi,translation_replica,960,0.0,4.5,0,28
facebook,mysivi,visual_variant,61,0,7.0,0,21
facebook,mysivi,ALL,1840,0.0,3.6,0,28
