pipeline,competitor,format_axis,ads,winners,win_ratio
facebook,duolingo,app-demo,22,15,0.682
facebook,duolingo,other,7,4,0.571
facebook,duolingo,listicle-montage,6,0,0.0
facebook,duolingo,skit-narrative,4,2,0.5
facebook,duolingo,text-on-screen-only,2,0,0.0
facebook,duolingo,split-screen,1,1,1.0
