pipeline,competitor,week,new_scripts,new_formats,new_ads,new_script_ads,reused_script_ads,winners_among_new,win_ratio
facebook,duolingo,2026-05-25,19,4,29,21,0,29,1.0
facebook,duolingo,2026-06-01,0,2,34,0,19,1,0.029
facebook,duolingo,2026-06-22,2,0,2,2,0,0,0.0
