pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,zinglish,unique,37,32,0.865
facebook,zinglish,original,2,2,1.0
facebook,zinglish,visual_variant,1,1,1.0
facebook,zinglish,exact_replica,1,1,1.0
