pipeline,competitor,replication_type,ads,winners,win_ratio
facebook,mysivi,translation_replica,969,491,0.507
facebook,mysivi,exact_replica,706,242,0.343
facebook,mysivi,original,288,111,0.385
facebook,mysivi,unique,277,50,0.181
facebook,mysivi,reworded_replica,113,48,0.425
facebook,mysivi,visual_variant,61,33,0.541
facebook,mysivi,character_variant,26,15,0.577
