pipeline,competitor,kind,key,ads
facebook,speakeasy,status,agree,109
facebook,speakeasy,status,copy_only,1
facebook,speakeasy,status,disagree,1
facebook,speakeasy,mismatch,audio=English | copy=Hindi,1
