pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,englishbhashi,117256651366792,Englishbhashi,2026-05-25,1,1,0,0.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-06-08,1,1,1,1.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-06-15,1,0,1,1.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-06-22,2,1,1,0.5
facebook,englishbhashi,117256651366792,Englishbhashi,2026-06-29,1,0,1,1.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-07-06,1,0,1,1.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-07-13,1,1,0,0.0
facebook,englishbhashi,117256651366792,Englishbhashi,2026-07-20,2,1,1,0.5
