pipeline,competitor,split_screen_role,ads,winners,win_ratio
facebook,english-seekho,none,1707,129,0.076
facebook,english-seekho,ai-corrects-human,126,17,0.135
facebook,english-seekho,human-corrects-ai,2,0,0.0
facebook,english-seekho,ai-corrects-ai,1,0,0.0
