pipeline,competitor,page_id,page_name,ad_id,media_type,first_seen,last_seen,times_seen,weeks_seen,ad_start_date,run_days,run_days_is_lower_bound,best_page_rank,worst_page_rank,median_page_rank,current_page_rank,present_latest,is_retired,page_count,frac_top_25,rank_gate,top25_gate,low_impression_ever,verdict,verdict_confidence
facebook,praktika-ai,104781132385804,Praktika,1284146880301102,Video,2026-05-28,2026-06-04,2,2,2026-03-11,85,False,1,1,1,1,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1479917686815968,Video,2026-05-28,2026-06-04,2,2,2026-04-04,61,False,2,2,2,2,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,942282644920761,Video,2026-05-28,2026-06-04,2,2,2026-03-19,77,False,3,3,3,3,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1000580788969512,Video,2026-05-28,2026-06-04,2,2,2026-04-24,41,False,4,4,4,4,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1720222669432418,Video,2026-05-28,2026-06-04,2,2,2026-04-04,61,False,5,5,5,5,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,2114713116051354,Video,2026-05-28,2026-06-04,2,2,2026-03-08,88,False,6,6,6,6,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1481040770146627,Video,2026-05-28,2026-06-04,2,2,2026-03-28,68,False,7,7,7,7,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1412613080667553,Video,2026-05-28,2026-06-04,2,2,2026-03-01,95,False,8,8,8,8,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1354760609752319,Video,2026-05-28,2026-06-04,2,2,2026-04-04,61,False,9,12,10,12,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,975765704980225,Video,2026-05-28,2026-06-04,2,2,2026-04-20,45,False,9,10,10,9,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1282822937331618,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,10,13,12,10,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,874091655660010,Video,2026-05-28,2026-06-04,2,2,2026-04-06,59,False,11,11,11,11,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,993945856457880,Video,2026-05-28,2026-05-28,1,1,2026-05-08,20,False,12,12,12,12,False,True,1809,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,3197124493824638,Video,2026-05-28,2026-06-04,2,2,2026-04-28,37,False,13,14,14,13,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1391383766354969,Video,2026-06-04,2026-06-04,1,1,,0,True,14,14,14,14,True,False,1825,1.0,True,True,False,new,high
facebook,praktika-ai,104781132385804,Praktika,2204393376963501,Video,2026-05-28,2026-06-04,2,2,2026-05-12,23,False,15,17,16,17,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1311129607090927,Video,2026-05-28,2026-06-04,2,2,2026-05-17,18,False,15,18,16,15,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1266895682308848,Video,2026-05-28,2026-06-04,2,2,2026-04-24,41,False,16,18,17,18,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1607879553589187,Video,2026-05-28,2026-06-04,2,2,2026-03-28,68,False,16,17,16,16,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1695856521594672,Video,2026-05-28,2026-05-28,1,1,2026-05-09,19,False,19,19,19,19,False,True,1809,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,2972791772910738,Video,2026-05-28,2026-06-04,2,2,2026-05-08,27,False,19,20,20,19,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1449273303357626,Video,2026-05-28,2026-06-04,2,2,2026-04-24,41,False,20,22,21,20,True,False,1825,1.0,True,True,False,winner,high
facebook,praktika-ai,104781132385804,Praktika,1876586636380023,Video,2026-05-28,2026-06-04,2,2,2026-03-28,68,False,21,21,21,21,True,False,1825,1.0,True,True,False,strong_winner,high
facebook,praktika-ai,104781132385804,Praktika,1683400652701031,Video,2026-05-28,2026-06-04,2,2,2026-05-23,12,False,22,62,42,22,True,False,1825,1.0,True,True,False,new,high
facebook,praktika-ai,104781132385804,Praktika,3167082200161356,Video,2026-05-28,2026-06-04,2,2,2026-04-22,43,False,23,25,24,25,True,False,1825,1.0,True,True,False,winner,high
