pipeline,competitor,page_id,page_name,week,ads_live,new_ads,winners_live,win_ratio
facebook,praktika-ai,104781132385804,Praktika,2026-05-25,1809,1809,202,0.112
facebook,praktika-ai,104781132385804,Praktika,2026-06-01,1825,670,180,0.099
